Namespace(D_lr=0.0002, G_lr=0.0002, batch_size=64, crop_size=64, data_path='/home/cvpr19/scottreed/DATA/CUB_EMBEDDING/birds', eval_step=700, image_path='/home/cvpr19/scottreed/DATA/CUB_200_2011/images', image_size=64, log_step=20, loss_type='BCEwL', lr_decay=0.5, lr_decay_after=14000, lr_update_step=14000, main_path='txt2img', max_epoch=600, mode='train', momentum=0.5, num_workers=4, save_step=7000, z_dim=100)
Change CPU mode to GPU mode...
Creating models are success...
Start training...
Elapsed [0:04:30], Iter [1840/83400], Epoch [13/600], Dataset [2112/8855], D/rw_loss [0.3142], D/fr_loss [0.0722], D/d_loss [1.8418], D/rr_loss [1.4553], G/g_loss [2.4845]
Elapsed [0:04:33], Iter [1860/83400], Epoch [13/600], Dataset [3392/8855], D/rw_loss [0.3856], D/fr_loss [0.0937], D/d_loss [1.6932], D/rr_loss [1.2139], G/g_loss [2.3567]
Elapsed [0:04:36], Iter [1880/83400], Epoch [13/600], Dataset [4672/8855], D/rw_loss [0.5568], D/fr_loss [0.1510], D/d_loss [1.6136], D/rr_loss [0.9058], G/g_loss [2.7381]
Elapsed [0:04:39], Iter [1900/83400], Epoch [13/600], Dataset [5952/8855], D/rw_loss [0.3868], D/fr_loss [0.0712], D/d_loss [1.6726], D/rr_loss [1.2146], G/g_loss [2.6615]
Elapsed [0:04:42], Iter [1920/83400], Epoch [13/600], Dataset [7232/8855], D/rw_loss [0.5046], D/fr_loss [0.1336], D/d_loss [1.6245], D/rr_loss [0.9863], G/g_loss [2.5799]
Elapsed [0:04:45], Iter [1940/83400], Epoch [13/600], Dataset [8512/8855], D/rw_loss [0.7922], D/fr_loss [0.2655], D/d_loss [1.7073], D/rr_loss [0.6497], G/g_loss [3.4128]
Elapsed [0:04:49], Iter [1960/83400], Epoch [14/600], Dataset [896/8855], D/rw_loss [0.6319], D/fr_loss [0.0924], D/d_loss [1.5679], D/rr_loss [0.8435], G/g_loss [3.5220]
Elapsed [0:04:52], Iter [1980/83400], Epoch [14/600], Dataset [2176/8855], D/rw_loss [0.5086], D/fr_loss [0.1830], D/d_loss [1.6615], D/rr_loss [0.9698], G/g_loss [2.4759]
Elapsed [0:04:55], Iter [2000/83400], Epoch [14/600], Dataset [3456/8855], D/rw_loss [0.4708], D/fr_loss [0.1088], D/d_loss [1.6488], D/rr_loss [1.0692], G/g_loss [2.7860]
Elapsed [0:04:58], Iter [2020/83400], Epoch [14/600], Dataset [4736/8855], D/rw_loss [0.6642], D/fr_loss [0.2003], D/d_loss [1.6375], D/rr_loss [0.7730], G/g_loss [2.6718]
Elapsed [0:05:01], Iter [2040/83400], Epoch [14/600], Dataset [6016/8855], D/rw_loss [0.4148], D/fr_loss [0.1136], D/d_loss [1.6836], D/rr_loss [1.1551], G/g_loss [2.0882]
Elapsed [0:05:04], Iter [2060/83400], Epoch [14/600], Dataset [7296/8855], D/rw_loss [0.9768], D/fr_loss [0.2462], D/d_loss [1.7397], D/rr_loss [0.5168], G/g_loss [3.8292]
Elapsed [0:05:07], Iter [2080/83400], Epoch [14/600], Dataset [8576/8855], D/rw_loss [0.4760], D/fr_loss [0.1302], D/d_loss [1.6317], D/rr_loss [1.0254], G/g_loss [2.5201]
Elapsed [0:05:10], Iter [2100/83400], Epoch [15/600], Dataset [960/8855], D/rw_loss [0.6197], D/fr_loss [0.1394], D/d_loss [1.5825], D/rr_loss [0.8233], G/g_loss [2.6816]
Save generated sample results 2100iter.jpg into txt2img/samples...
